Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,NYSE American
BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas E&P,NYSE American
CVM,CEL-SCI Corporation,Healthcare,Biotechnology,NYSE American
EPM,Evolution Petroleum Corporation,Energy,Oil & Gas E&P,NYSE American
ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts,NYSE American
GORO,Gold Resource Corporation,Basic Materials,Other Precious Metals & Mining,NYSE American
MHH,"Mastech Digital, Inc.",Industrials,Staffing & Employment Services,NYSE American
MXC,Mexco Energy Corporation,Energy,Oil & Gas E&P,NYSE American
NHC,National HealthCare Corporation,Healthcare,Medical Care Facilities,NYSE American
PLX,"Protalix BioTherapeutics, Inc.",Healthcare,Biotechnology,NYSE American
SEB,Seaboard Corporation,Industrials,Conglomerates,NYSE American
SIF,"SIFCO Industries, Inc.",Industrials,Aerospace & Defense,NYSE American
XPL,Solitario Resources Corp.,Basic Materials,Other Industrial Metals & Mining,NYSE American
