Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
AGX,"Argan, Inc.",Industrials,Engineering & Construction,NYSE
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,NYSE American
AVD,American Vanguard Corporation,Basic Materials,Agricultural Inputs,NYSE
BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas E&P,NYSE American
CTO,"CTO Realty Growth, Inc.",Real Estate,REIT - Diversified,NYSE
CVM,CEL-SCI Corporation,Healthcare,Biotechnology,NYSE American
EGO,Eldorado Gold Corporation,Basic Materials,Gold,NYSE
EML,The Eastern Company,Industrials,Tools & Accessories,NasdaqGM
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,NYSE
EPM,Evolution Petroleum Corporation,Energy,Oil & Gas E&P,NYSE American
ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts,NYSE American
FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,NasdaqCM
FRD,"Friedman Industries, Incorporated",Basic Materials,Steel,NasdaqGS
GEL,"Genesis Energy, L.P.",Energy,Oil & Gas Midstream,NYSE
GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,NYSE
GORO,Gold Resource Corporation,Basic Materials,Other Precious Metals & Mining,NYSE American
GV,Visionary Holdings Inc.,Consumer Defensive,Education & Training Services,NasdaqCM
IDN,"Intellicheck, Inc.",Technology,Software - Application,NasdaqGM
LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,NYSE
LXU,"LSB Industries, Inc.",Basic Materials,Chemicals,NYSE
MHH,"Mastech Digital, Inc.",Industrials,Staffing & Employment Services,NYSE American
MPB,"Mid Penn Bancorp, Inc.",Financial Services,Banks - Regional,NasdaqGM
MXC,Mexco Energy Corporation,Energy,Oil & Gas E&P,NYSE American
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling,NYSE
NGS,"Natural Gas Services Group, Inc.",Energy,Oil & Gas Equipment & Services,NYSE
NHC,National HealthCare Corporation,Healthcare,Medical Care Facilities,NYSE American
NHI,"National Health Investors, Inc.",Real Estate,REIT - Healthcare Facilities,NYSE
PGC,Peapack-Gladstone Financial Corporation,Financial Services,Banks - Regional,NasdaqGS
PLX,"Protalix BioTherapeutics, Inc.",Healthcare,Biotechnology,NYSE American
RGRX,"RegeneRx Biopharmaceuticals, Inc.",Healthcare,Biotechnology,OTC Markets OTCPK
SEB,Seaboard Corporation,Industrials,Conglomerates,NYSE American
SIF,"SIFCO Industries, Inc.",Industrials,Aerospace & Defense,NYSE American
TWO,Two Harbors Investment Corp.,Real Estate,REIT - Mortgage,NYSE
UMH,"UMH Properties, Inc.",Real Estate,REIT - Residential,NYSE
UVE,"Universal Insurance Holdings, Inc.",Financial Services,Insurance - Property & Casualty,NYSE
XPL,Solitario Resources Corp.,Basic Materials,Other Industrial Metals & Mining,NYSE American
