Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
AAF.L,Airtel Africa Plc,Communication Services,Telecom Services,LSE
ABDP.L,AB Dynamics plc,Consumer Cyclical,Auto Parts,LSE
ACSO.L,accesso Technology Group plc,Technology,Software - Application,LSE
AIBG.L,AIB Group plc,Financial Services,Banks - Regional,LSE
AJB.L,AJ Bell plc,Financial Services,Asset Management,LSE
ALFA.L,Alfa Financial Software Holdings PLC,Technology,Software - Application,LSE
AMS.L,Advanced Medical Solutions Group plc,Healthcare,Medical Instruments & Supplies,LSE
ANCR.L,Animalcare Group plc,Healthcare,Drug Manufacturers - Specialty & Generic,LSE
ASAI.L,ASA International Group PLC,Financial Services,Credit Services,LSE
AVAP.L,Avation PLC,Industrials,Rental & Leasing Services,LSE
BAG.L,A.G. BARR p.l.c.,Consumer Defensive,Beverages - Non-Alcoholic,LSE
BGO.L,Bango PLC,Technology,Software - Infrastructure,LSE
BOKU.L,"Boku, Inc.",Technology,Software - Infrastructure,LSE
BOY.L,Bodycote plc,Industrials,Specialty Industrial Machinery,LSE
BRCK.L,BRCK Group plc,Industrials,Industrial Distribution,LSE
BREE.L,Breedon Group plc,Basic Materials,Building Materials,LSE
BRK.L,Brooks Macdonald Group plc,Financial Services,Asset Management,LSE
BUR.L,Burford Capital Limited,Financial Services,Asset Management,LSE
BYIT.L,Bytes Technology Group plc,Technology,Software - Infrastructure,LSE
CAM.L,Camellia Plc,Consumer Defensive,Farm Products,LSE
CAML.L,Central Asia Metals plc,Basic Materials,Copper,LSE
CAU.L,Centaur Media Plc,Communication Services,Advertising Agencies,LSE
CCR.L,C&C Group plc,Consumer Defensive,Beverages - Brewers,LSE
CER.L,Cerillion Plc,Technology,Software - Application,LSE
CGEO.L,Georgia Capital PLC,Financial Services,Financial Conglomerates,LSE
CHRT.L,Cohort plc,Industrials,Aerospace & Defense,LSE
CMCX.L,CMC Markets Plc,Financial Services,Capital Markets,LSE
CREO.L,Creo Medical Group PLC,Healthcare,Medical Devices,LSE
CTEC.L,Convatec Group PLC,Healthcare,Medical Instruments & Supplies,LSE
CVSG.L,CVS Group plc,Healthcare,Medical Care Facilities,LSE
DATA.L,GlobalData Plc,Industrials,Consulting Services,LSE
DCC.L,DCC plc,Energy,Oil & Gas Refining & Marketing,LSE
DEC.L,Diversified Energy Company,Energy,Oil & Gas Integrated,LSE
DFS.L,DFS Furniture plc,Consumer Cyclical,Specialty Retail,LSE
DIA.L,Dialight plc,Industrials,Electrical Equipment & Parts,LSE
DOCS.L,Dr. Martens plc,Consumer Cyclical,Footwear & Accessories,LSE
DOTD.L,dotdigital Group Plc,Technology,Software - Application,LSE
DXRX.L,Diaceutics PLC,Healthcare,Health Information Services,LSE
EKF.L,EKF Diagnostics Holdings plc,Healthcare,Medical Devices,LSE
ELLA.L,Ecclesiastical Insurance Office plc,Financial Services,Insurance - Life,LSE
ELM.L,Elementis plc,Basic Materials,Specialty Chemicals,LSE
ENQ.L,EnQuest PLC,Energy,Oil & Gas E&P,LSE
EQT.L,EQTEC PLC,Industrials,Specialty Industrial Machinery,LSE
FARN.L,Faron Pharmaceuticals Oy,Healthcare,Biotechnology,LSE
FCH.L,Funding Circle Holdings plc,Financial Services,Credit Services,LSE
FDM.L,FDM Group (Holdings) plc,Technology,Information Technology Services,LSE
FERG.L,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,LSE
FEVR.L,Fevertree Drinks PLC,Consumer Defensive,Beverages - Non-Alcoholic,LSE
FOUR.L,4imprint Group plc,Communication Services,Advertising Agencies,LSE
FRAN.L,Franchise Brands plc,Industrials,Specialty Business Services,LSE
FRP.L,FRP Advisory Group plc,Financial Services,Capital Markets,LSE
FUM.L,Futura Medical plc,Healthcare,Biotechnology,LSE
GAMA.L,Gamma Communications plc,Communication Services,Telecom Services,LSE
GENL.L,Genel Energy plc,Energy,Oil & Gas E&P,LSE
GKP.L,Gulf Keystone Petroleum Limited,Energy,Oil & Gas E&P,LSE
GLV.L,Glenveagh Properties PLC,Consumer Cyclical,Residential Construction,LSE
GR1T.L,Grit Real Estate Income Group Limited,Real Estate,Real Estate Services,LSE
GRG.L,Greggs plc,Consumer Cyclical,Restaurants,LSE
HLMA.L,Halma plc,Industrials,Conglomerates,LSE
HSW.L,Hostelworld Group plc,Consumer Cyclical,Travel Services,LSE
HTWS.L,Helios Towers plc,Communication Services,Telecom Services,LSE
HVPE.L,HarbourVest Global Private Equity Ltd.,Financial Services,Asset Management,LSE
HWG.L,Harworth Group plc,Real Estate,Real Estate - Development,LSE
IDHC.L,Integrated Diagnostics Holdings plc,Healthcare,Diagnostics & Research,LSE
IHP.L,IntegraFin Holdings plc,Financial Services,Asset Management,LSE
IMB.L,Imperial Brands PLC,Consumer Defensive,Tobacco,LSE
IQE.L,IQE plc,Technology,Semiconductor Equipment & Materials,LSE
IWG.L,International Workplace Group plc,Real Estate,Real Estate Services,LSE
KGH.L,Knights Group Holdings plc,Industrials,Specialty Business Services,LSE
KP2.L,Kore Potash plc,Basic Materials,Other Industrial Metals & Mining,LSE
LIO.L,Liontrust Asset Management PLC,Financial Services,Asset Management,LSE
LIT.L,Litigation Capital Management Limited,Financial Services,Credit Services,LSE
LIV.L,Livermore Investments Group Limited,Financial Services,Asset Management,LSE
LRE.L,Lancashire Holdings Limited,Financial Services,Insurance - Specialty,LSE
LSL.L,LSL Property Services plc,Real Estate,Real Estate Services,LSE
MAB1.L,Mortgage Advice Bureau (Holdings) plc,Financial Services,Mortgage Finance,LSE
MACF.L,Macfarlane Group PLC,Consumer Cyclical,Packaging & Containers,LSE
MANO.L,Manolete Partners Plc,Industrials,Consulting Services,LSE
MIND.L,Mind Gym plc,Industrials,Specialty Business Services,LSE
MIRI.L,Mirriad Advertising plc,Communication Services,Advertising Agencies,LSE
MTRO.L,Metro Bank Holdings PLC,Financial Services,Banks - Regional,LSE
NESF.L,NextEnergy Solar Fund Limited,Financial Services,Asset Management,LSE
NEXS.L,Nexus Infrastructure plc,Industrials,Engineering & Construction,LSE
NWF.L,NWF Group plc,Energy,Oil & Gas Refining & Marketing,LSE
OCI.L,Oakley Capital Investments Limited,Financial Services,Asset Management,LSE
OGN.L,Origin Enterprises plc,Basic Materials,Agricultural Inputs,LSE
PCTN.L,Picton Property Income Limited,Real Estate,REIT - Diversified,LSE
