Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
AAF.L,Airtel Africa Plc,Communication Services,Telecom Services,LSE
AAL,American Airlines Group Inc.,Industrials,Airlines,NasdaqGS
ABDP.L,AB Dynamics plc,Consumer Cyclical,Auto Parts,LSE
ACCS,ACCESS Newswire Inc.,Communication Services,Advertising Agencies,NYSE American
ACP,Abrdn Income Credit Strategies Fund,Financial Services,Asset Management,NYSE
ACSO.L,accesso Technology Group plc,Technology,Software - Application,LSE
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,NasdaqGS
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,NYSE
ADT,ADT Inc.,Industrials,Security & Protection Services,NYSE
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,NYSE
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,NYSE
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,NasdaqGS
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,NYSE
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,NYSE
AIBG.L,AIB Group plc,Financial Services,Banks - Regional,LSE
AIRE,reAlpha Tech Corp.,Real Estate,Real Estate Services,NasdaqCM
AJB.L,AJ Bell plc,Financial Services,Asset Management,LSE
ALFA.L,Alfa Financial Software Holdings PLC,Technology,Software - Application,LSE
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,NYSE
ALM,Almonty Industries Inc.,Basic Materials,Other Industrial Metals & Mining,NasdaqCM
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,NasdaqGS
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,NYSE
AMS.L,Advanced Medical Solutions Group plc,Healthcare,Medical Instruments & Supplies,LSE
ANCR.L,Animalcare Group plc,Healthcare,Drug Manufacturers - Specialty & Generic,LSE
APH,Amphenol Corporation,Technology,Electronic Components,NYSE
APP,AppLovin Corporation,Communication Services,Advertising Agencies,NasdaqGS
ARBB,ARB IOT Group Limited,Technology,Information Technology Services,NasdaqCM
ARTL,"Artelo Biosciences, Inc.",Healthcare,Biotechnology,NasdaqCM
ASAI.L,ASA International Group PLC,Financial Services,Credit Services,LSE
ASTO,"Astro Communications, Inc.",Industrials,Electrical Equipment & Parts,OTC Markets OTCPK
AURA,"Aura Biosciences, Inc.",Healthcare,Biotechnology,NasdaqGM
AVAP.L,Avation PLC,Industrials,Rental & Leasing Services,LSE
AXS,AXIS Capital Holdings Limited,Financial Services,Insurance - Specialty,NYSE
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,NYSE
BA,The Boeing Company,Industrials,Aerospace & Defense,NYSE
BAG.L,A.G. BARR p.l.c.,Consumer Defensive,Beverages - Non-Alcoholic,LSE
BAKK.L,Bakkavor Group plc,Consumer Defensive,Packaged Foods,N/A
BARK,"BARK, Inc.",Consumer Cyclical,Specialty Retail,NYSE
BBGI,"Beasley Broadcast Group, Inc.",Communication Services,Broadcasting,NasdaqCM
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,NYSE
BCG,"Binah Capital Group, Inc.",Financial Services,Asset Management,NasdaqGM
BERI,"Blue Earth Resources, Inc.",Energy,Oil & Gas Refining & Marketing,OTC Markets OTCPK
BGO.L,Bango PLC,Technology,Software - Infrastructure,LSE
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,NYSE
BLND,"Blend Labs, Inc.",Technology,Software - Application,NYSE
BME,BlackRock Health Sciences Trust,Financial Services,Asset Management,NYSE
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,NYSE
BOKU.L,"Boku, Inc.",Technology,Software - Infrastructure,LSE
BOOM,DMC Global Inc.,Industrials,Conglomerates,NasdaqGS
BOY.L,Bodycote plc,Industrials,Specialty Industrial Machinery,LSE
BP,BP p.l.c.,Energy,Oil & Gas Integrated,NYSE
BRCK.L,BRCK Group plc,Industrials,Industrial Distribution,LSE
BREE.L,Breedon Group plc,Basic Materials,Building Materials,LSE
BRK.L,Brooks Macdonald Group plc,Financial Services,Asset Management,LSE
BRW,Saba Capital Income & Opportunities Fund,Financial Services,Asset Management,NYSE
BSY,"Bentley Systems, Incorporated",Technology,Software - Application,NasdaqGS
BUR.L,Burford Capital Limited,Financial Services,Asset Management,LSE
BVC,BitVentures Limited,Technology,Software - Application,NasdaqCM
BVS,Bioventus Inc.,Healthcare,Medical Devices,NasdaqGS
BXP,"BXP, Inc.",Real Estate,REIT - Office,NYSE
BYIT.L,Bytes Technology Group plc,Technology,Software - Infrastructure,LSE
CAL,"Caleres, Inc.",Consumer Cyclical,Apparel Retail,NYSE
CAM.L,Camellia Plc,Consumer Defensive,Farm Products,LSE
CAML.L,Central Asia Metals plc,Basic Materials,Copper,LSE
CAPC,"Capstone Companies, Inc.",Technology,Consumer Electronics,OTC Markets OTCQB
CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services,NasdaqGS
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,NYSE
CAU.L,Centaur Media Plc,Communication Services,Advertising Agencies,LSE
CCC,CCC Intelligent Solutions Holdings Inc.,Technology,Software - Application,NasdaqGS
CCR.L,C&C Group plc,Consumer Defensive,Beverages - Brewers,LSE
CCS,"Century Communities, Inc.",Real Estate,Real Estate - Development,NYSE
CEPS,"Cantor Equity Partners VI, Inc.",Financial Services,Shell Companies,NasdaqGM
CER.L,Cerillion Plc,Technology,Software - Application,LSE
CGEO.L,Georgia Capital PLC,Financial Services,Financial Conglomerates,LSE
CGO,Calamos Global Total Return Fund,Financial Services,Asset Management,NasdaqGM
CHAR,Charlton Aria Acquisition Corporation,Financial Services,Shell Companies,NasdaqGM
CHE,Chemed Corporation,Healthcare,Medical Care Facilities,NYSE
CHH,"Choice Hotels International, Inc.",Consumer Cyclical,Lodging,NYSE
CHRT.L,Cohort plc,Industrials,Aerospace & Defense,LSE
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,NYSE
CMCX.L,CMC Markets Plc,Financial Services,Capital Markets,LSE
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,NYSE
CNS,"Cohen & Steers, Inc.",Financial Services,Asset Management,NYSE
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,NasdaqGS
CRC,California Resources Corporation,Energy,Oil & Gas E&P,NYSE
