Ticker,Company Name,Sector,Industry
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services
AAL,American Airlines Group Inc.,Industrials,Airlines
AAME,Atlantic American Corporation,Financial Services,Insurance - Life
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment
ABAT,American Battery Technology Company,Industrials,Waste Management
ABCB,Ameris Bancorp,Financial Services,Banks - Regional
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology
ABSI,Absci Corporation,Healthcare,Biotechnology
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology
ACIU,AC Immune SA,Healthcare,Biotechnology
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials
ACLX,"Arcellx, Inc.",Healthcare,Biotechnology
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials
ACNB,ACNB Corporation,Financial Services,Banks - Regional
ACNT,Ascent Industries Co.,Basic Materials,Chemicals
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology
ADBE,Adobe Inc.,Technology,Software - Application
