Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,NasdaqCM
AAL,American Airlines Group Inc.,Industrials,Airlines,NasdaqGS
AAME,Atlantic American Corporation,Financial Services,Insurance - Life,NasdaqGM
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,NasdaqGM
ABAT,American Battery Technology Company,Industrials,Waste Management,NasdaqCM
ABCB,Ameris Bancorp,Financial Services,Banks - Regional,NYSE
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,NasdaqGS
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,NasdaqCM
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,NasdaqGS
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,NasdaqGS
ABSI,Absci Corporation,Healthcare,Biotechnology,NasdaqGS
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,NasdaqGS
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,NasdaqGS
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,NasdaqGS
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,NasdaqGS
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,NasdaqCM
ACIU,AC Immune SA,Healthcare,Biotechnology,NasdaqGM
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,NasdaqGS
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,NasdaqGS
ACLX,"Arcellx, Inc.",Healthcare,Biotechnology,NasdaqGS
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,NasdaqGM
ACNB,ACNB Corporation,Financial Services,Banks - Regional,NasdaqCM
ACNT,Ascent Industries Co.,Basic Materials,Chemicals,NasdaqGM
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,NasdaqGS
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,NasdaqGM
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,NasdaqGS
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies,NasdaqGS
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,OTC Markets OTCPK
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,NYSE
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,NasdaqCM
ADBE,Adobe Inc.,Technology,Software - Application,NasdaqGS
ADEA,Adeia Inc.,Technology,Software - Application,NasdaqGS
ADI,"Analog Devices, Inc.",Technology,Semiconductors,NasdaqGS
