Ticker,Company Name,Sector,Industry
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
AA,Alcoa Corporation,Basic Materials,Aluminum
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Auto Parts
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage
ABT,Abbott Laboratories,Healthcare,Medical Devices
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling
ACH,"Accendra Health, Inc.",Healthcare,Medical Distribution
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense
ACN,Accenture plc,Technology,Information Technology Services
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products
ADC,Agree Realty Corporation,Real Estate,REIT - Retail
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
ADNT,Adient plc,Consumer Cyclical,Auto Parts
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application
ADT,ADT Inc.,Industrials,Security & Protection Services
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services,Asset Management
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric
AES,The AES Corporation,Utilities,Utilities - Diversified
