Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,NYSE
AA,Alcoa Corporation,Basic Materials,Aluminum,NYSE
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Auto Parts,NYSE
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,NYSE
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,NYSE
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYSE
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,NYSE
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,NYSE
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,NYSE
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,NYSE
ABT,Abbott Laboratories,Healthcare,Medical Devices,NYSE
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,NYSE
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,NYSE
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,NYSE
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,NYSE
ACH,"Accendra Health, Inc.",Healthcare,Medical Distribution,NYSE
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,NYSE
ACN,Accenture plc,Technology,Information Technology Services,NYSE
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,NYSE
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,NYSE
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,NYSE American
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,NYSE
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,NYSE
ADI,"Analog Devices, Inc.",Technology,Semiconductors,NasdaqGS
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,NYSE
ADNT,Adient plc,Consumer Cyclical,Auto Parts,NYSE
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,NasdaqGS
ADT,ADT Inc.,Industrials,Security & Protection Services,NYSE
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services,Asset Management,NYSE
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,NYSE
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,NYSE
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,NYSE
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,NYSE
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,NasdaqGS
AES,The AES Corporation,Utilities,Utilities - Diversified,NYSE
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,NYSE
AEVA,"Aeva Technologies, Inc.",Technology,Software - Infrastructure,NasdaqGS
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,NYSE
AFL,Aflac Incorporated,Financial Services,Insurance - Life,NYSE
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,NYSE
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,NYSE
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,NYSE
AGO,Assured Guaranty Ltd.,Financial Services,Insurance - Specialty,NYSE
AGX,"Argan, Inc.",Industrials,Engineering & Construction,NYSE
AHH,Armada Hoffler Properties Inc,Real Estate,REIT - Diversified,NYQ
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities,NYSE
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,NYSE
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,NYSE
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,NYSE
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,NYSE
AIR,AAR Corp.,Industrials,Aerospace & Defense,NYSE
AIRI,Air Industries Group,Industrials,Aerospace & Defense,NYSE American
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,NYSE
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,NYSE
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,NYSE
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,NYSE
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Apparel Retail,NYSE
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,NYSE
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,NYSE
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,NYQ
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,NYSE
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,NYSE
ALEX,Alexander & Baldwin Inc,Real Estate,REIT - Retail,NYQ
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,NYSE
ALIT,"Alight, Inc.",Technology,Software - Application,NYSE
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,NYSE
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,NYSE
ALLE,Allegion plc,Industrials,Security & Protection Services,NYSE
ALLY,Ally Financial Inc.,Financial Services,Credit Services,NYSE
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,NYSE
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,NYSE
ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,NYSE
ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,NYSE
