Ticker,Company Name,Sector,Industry
0P0T.L,Wilh. Wilhelmsen Holding ASA,,
0QNN.L,Burckhardt Compression Holding AG,,
0REW.L,Züblin Immobilien Holding AG,,
0SE5.L,Sensirion Holding AG,,
3IN,N/A,N/A,N/A
3PO,N/A,N/A,N/A
4BB,N/A,N/A,N/A
888,N/A,N/A,N/A
A3D,N/A,N/A,N/A
AADV,N/A,N/A,N/A
AAEV,N/A,N/A,N/A
AAF.L,Airtel Africa Plc,Communication Services,Telecom Services
AAIF,N/A,N/A,N/A
AAL,American Airlines Group Inc.,Industrials,Airlines
AAU,N/A,N/A,N/A
AAVC,N/A,N/A,N/A
AAZ,N/A,N/A,N/A
ABCA,N/A,N/A,N/A
ABDN,N/A,N/A,N/A
ABDP.L,AB Dynamics plc,Consumer Cyclical,Auto Parts
ABF,N/A,N/A,N/A
ABV,N/A,N/A,N/A
ACC,N/A,N/A,N/A
ACCS,ACCESS Newswire Inc.,Communication Services,Advertising Agencies
ACID,N/A,N/A,N/A
ACP,Abrdn Income Credit Strategies Fund,Financial Services,Asset Management
ACRL.L,N/A,N/A,N/A
ACSO.L,accesso Technology Group plc,Technology,Software - Application
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty
ADA,Adams Plc,N/A,N/A
ADIG,N/A,N/A,N/A
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
ADME,Aptus Drawdown Managed Equity ETF,N/A,N/A
ADN,N/A,N/A,N/A
ADT,ADT Inc.,Industrials,Security & Protection Services
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified
AEMC,N/A,N/A,N/A
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric
AET,Aetna Inc.,N/A,N/A
AEWU,N/A,N/A,N/A
AEX,N/A,N/A,N/A
AFAGR,N/A,N/A,N/A
AFC,N/A,N/A,N/A
AFM,N/A,N/A,N/A
AFS,N/A,N/A,N/A
AFX,N/A,N/A,N/A
AGFX,N/A,N/A,N/A
AGK,N/A,N/A,N/A
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities
AGL.L,N/A,N/A,N/A
AGR,N/A,N/A,N/A
AGT,iShares MSCI Argentina and Global Exposure ETF,N/A,N/A
AGY,N/A,N/A,N/A
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel
AIBG.L,AIB Group plc,Financial Services,Banks - Regional
AIQ,Global X Artificial Intelligence & Technology ETF,N/A,N/A
AIRE,reAlpha Tech Corp.,Real Estate,Real Estate Services
AJB,N/A,N/A,N/A
AJB.L,AJ Bell plc,Financial Services,Asset Management
AJIT,N/A,N/A,N/A
AJOT,N/A,N/A,N/A
AKN,N/A,N/A,N/A
AL8,N/A,N/A,N/A
ALBA,N/A,N/A,N/A
ALD,WisdomTree Asia Local Debt Fund,N/A,N/A
ALFA,AlphaClone Alternative Alpha ETF,N/A,N/A
ALFA.L,Alfa Financial Software Holdings PLC,Technology,Software - Application
ALGW,N/A,N/A,N/A
