Ticker,Company Name,Sector,Industry
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services
AADI,N/A,N/A,N/A
AAIC,N/A,N/A,N/A
AAL,American Airlines Group Inc.,Industrials,Airlines
AAME,Atlantic American Corporation,Financial Services,Insurance - Life
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment
AAONAAPL,N/A,N/A,N/A
AAWW,N/A,N/A,N/A
ABAT,American Battery Technology Company,Industrials,Waste Management
ABCB,Ameris Bancorp,Financial Services,Banks - Regional
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology
ABL,N/A,N/A,N/A
ABMD,N/A,N/A,N/A
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology
ABSI,Absci Corporation,Healthcare,Biotechnology
ABTX,N/A,N/A,N/A
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology
ABY,N/A,N/A,N/A
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology
ACBI,N/A,N/A,N/A
ACCD,N/A,N/A,N/A
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services
ACER,N/A,N/A,N/A
ACETACGL,N/A,N/A,N/A
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities
ACHN,N/A,N/A,N/A
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology
ACIA,N/A,N/A,N/A
ACIA,N/A,N/A,N/A
ACIU,AC Immune SA,Healthcare,Biotechnology
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials
ACLX,"Arcellx, Inc.",Healthcare,Biotechnology
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials
ACNB,ACNB Corporation,Financial Services,Banks - Regional
ACNT,Ascent Industries Co.,Basic Materials,Chemicals
ACOR,N/A,N/A,N/A
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships
ACXM,"Acxiom Holdings, Inc.",N/A,N/A
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology
ADAP,N/A,N/A,N/A
ADBE,Adobe Inc.,Technology,Software - Application
ADEA,Adeia Inc.,Technology,Software - Application
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology
ADMS,N/A,N/A,N/A
ADN,N/A,N/A,N/A
ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology
ADRO,N/A,N/A,N/A
ADSK,"Autodesk, Inc.",Technology,Software - Application
ADTH,N/A,N/A,N/A
ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies
ADVM,N/A,N/A,N/A
AEGN,N/A,N/A,N/A
AEHR,"Aehr Test Systems, Inc.",Technology,Semiconductor Equipment & Materials
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment
AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services
AERI,N/A,N/A,N/A
AESE,N/A,N/A,N/A
AEY,N/A,N/A,N/A
AEYE,"AudioEye, Inc.",Technology,Software - Application
AFBI,"Affinity Bancshares, Inc.",Financial Services,Banks - Regional
AFCG,Advanced Flower Capital Inc.,Real Estate,REIT - Mortgage
AFH,N/A,N/A,N/A
AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices
AFMD,N/A,N/A,N/A
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products
AFRM,"Affirm Holdings, Inc.",Financial Services,Credit Services
AFYA,Afya Limited,Consumer Defensive,Education & Training Services
AGAE,Allied Gaming & Entertainment Inc.,Communication Services,Entertainment
AGEN,Agenus Inc.,Healthcare,Biotechnology
AGFS,N/A,N/A,N/A
AGFY,N/A,N/A,N/A
