Ticker,Company Name,Sector,Industry
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
AA,Alcoa Corporation,Basic Materials,Aluminum
AAC,N/A,N/A,N/A
AAMC,N/A,N/A,N/A
AAN,N/A,N/A,N/A
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Auto Parts
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified
AAV,Advantage Oil &amp; Gas Ltd.,N/A,N/A
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management
ABB,N/A,N/A,N/A
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage
ABT,Abbott Laboratories,Healthcare,Medical Devices
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life
AC,N/A,N/A,N/A
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction
ACC,N/A,N/A,N/A
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling
ACH,"Accendra Health, Inc.",Healthcare,Medical Distribution
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense
ACIACM,N/A,N/A,N/A
ACN,Accenture plc,Technology,Information Technology Services
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products
ACY,N/A,N/A,N/A
ADC,Agree Realty Corporation,Real Estate,REIT - Retail
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
ADNT,Adient plc,Consumer Cyclical,Auto Parts
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application
ADR,N/A,N/A,N/A
ADRT,N/A,N/A,N/A
ADS,N/A,N/A,N/A
ADSW,N/A,N/A,N/A
ADT,ADT Inc.,Industrials,Security & Protection Services
